City,3_Days_Ahead,7_Days_Ahead,14_Days_Ahead,30_Days_Ahead
Changhua County,0.0860,0.0953,0.5831,6.4386
Chiayi City,0.0967,0.1057,0.6007,6.7522
Chiayi County,0.1699,0.1799,0.8792,9.7447
Hsinchu City,0.0868,0.0966,0.5839,6.5991
Hsinchu County,0.0869,0.0961,0.5871,6.6438
Hualien County,0.0695,0.0725,0.5317,5.6291
Kaohsiung City,0.8218,0.9336,2.5813,19.6650
Keelung City,0.0701,0.0742,0.5299,5.3494
Kinmen County,0.0647,0.0670,0.5117,4.9526
Lienchiang County,0.0635,0.0655,0.5073,4.8529
Miaoli County,0.0726,0.0774,0.5369,5.5615
Nantou County,0.0761,0.0820,0.5478,5.6971
New Taipei City,0.1993,0.2260,1.0089,13.8460
Penghu County,0.0671,0.0705,0.5188,5.0604
Pingtung County,0.2212,0.2510,1.2179,11.8563
Taichung City,0.1550,0.1783,0.8932,12.5246
Tainan City,4.9108,6.8736,9.1050,19.3092
Taipei City,0.1599,0.1808,0.9071,13.1089
Taitung County,0.0696,0.0733,0.5270,5.2770
Taoyuan City,0.1347,0.1523,0.7679,10.8096
Yilan County,0.0709,0.0753,0.5321,5.3638
Yunlin County,0.3173,0.3833,1.6818,12.8492
