City,3_Days_Ahead,7_Days_Ahead,14_Days_Ahead,30_Days_Ahead
Changhua County,0.1637,0.1783,1.0201,12.7428
Chiayi City,0.2178,0.2273,1.0891,14.0877
Chiayi County,0.5050,0.5056,2.4232,23.7978
Hsinchu City,0.1622,0.1774,1.0162,13.0895
Hsinchu County,0.1720,0.1852,1.0212,12.9634
Hualien County,0.1001,0.1030,0.8968,9.8111
Kaohsiung City,2.6170,2.8739,7.2165,39.4828
Keelung City,0.1031,0.1078,0.8840,8.6775
Kinmen County,0.0723,0.0755,0.8495,7.4723
Lienchiang County,0.0635,0.0662,0.8405,7.1154
Miaoli County,0.1200,0.1258,0.8977,9.2877
Nantou County,0.1403,0.1499,0.9332,10.1512
New Taipei City,0.5174,0.5545,2.2877,29.0359
Penghu County,0.0873,0.0917,0.8619,7.7746
Pingtung County,0.6289,0.7305,3.9896,28.4003
Taichung City,0.3316,0.3593,1.8647,26.6884
Tainan City,22.2665,31.1116,36.4432,43.5854
Taipei City,0.3484,0.3757,1.9084,27.5980
Taitung County,0.1068,0.1114,0.8791,8.5442
Taoyuan City,0.3156,0.3320,1.4742,22.6171
Yilan County,0.1060,0.1111,0.8888,8.7264
Yunlin County,0.9847,1.2266,5.6261,31.3641
